site,site_micro,tray_id,microhabitat,micro_tree,sample_soil,sample_tree_total,sample,sample_tree,isolated_tree_id,isolated_tree_h,isolated_tree_disp,distance_from_edge,date,recorder,morpho_species,family,genus,species,count,dispersal_mode,disp_mode,growth_form
2JM2,2JM2open pasture,2JM2_OP_05,open pasture,open pasture,100,100,10,10,.,.,.,51,6/30/2023,SAA,sp 1,Caesalpinioideae,Leucaena,Leucaena leucocephala,1,abiotic,,tree
9DITO,9DITOisolated tree,9DITO_IT_04,isolated tree,fleshy fruit tree,100,70,10,7,Syagrus romanzoffiana,15,vertebrate,26,7/8/2023,SAA,sp 2,Oxalidaceae,Oxalis,Oxalis corniculata,2,autochory,other,herb
3SS,3SSforest fragment,3SS_FF_05,forest fragment,forest fragment,100,100,10,10,.,.,.,0,7/8/2023,SAA,sp 2,Oxalidaceae,Oxalis,Oxalis corniculata,1,autochory,,herb
2JM2,2JM2forest fragment,2JM2_FF_05,forest fragment,forest fragment,100,100,10,10,.,.,.,0,7/8/2023,SAA,sp 2,Oxalidaceae,Oxalis,Oxalis corniculata,1,autochory,,herb
5PF1,5PF1forest fragment,5PF1_FF_07,forest fragment,forest fragment,100,100,10,7,.,.,.,0,7/8/2023,SAA,sp 2,Oxalidaceae,Oxalis,Oxalis corniculata,1,autochory,,herb
2JM2,2JM2forest fragment,2JM2_FF_01,forest fragment,forest fragment,100,100,10,10,.,.,.,0,7/8/2023,SAA,sp 2,Oxalidaceae,Oxalis,Oxalis corniculata,2,autochory,,herb
2JM2,2JM2forest fragment,2JM2_FF_04,forest fragment,forest fragment,100,100,10,10,.,.,.,30,7/8/2023,SAA,sp 2,Oxalidaceae,Oxalis,Oxalis corniculata,1,autochory,,herb
4AJ,4AJopen pasture,4AJ_OP_10,open pasture,open pasture,100,100,10,10,.,.,.,41,7/8/2023,SAA,sp 2,Oxalidaceae,Oxalis,Oxalis corniculata,1,autochory,,herb
3SS,3SSisolated tree,3SS_IT_01,isolated tree,fleshy fruit tree,80,30,8,3,Casearia sylvestris,3,vertebrate,14,7/8/2023,SAA,sp 2,Oxalidaceae,Oxalis,Oxalis corniculata,4,autochory,other,herb
4AJ,4AJopen pasture,4AJ_OP_08,open pasture,open pasture,100,100,10,10,.,.,.,31,7/8/2023,SAA,sp 2,Oxalidaceae,Oxalis,Oxalis corniculata,1,autochory,,herb
6PF2,6PF2forest fragment,6PF2_FF_05,forest fragment,forest fragment,100,100,10,10,.,.,.,0,7/8/2023,SAA,sp 2,Oxalidaceae,Oxalis,Oxalis corniculata,4,autochory,,herb
3SS,3SSisolated tree,3SS_IT_06,isolated tree,fleshy fruit tree,80,30,8,3,Casearia sylvestris,4,vertebrate,23,7/8/2023,SAA,sp 2,Oxalidaceae,Oxalis,Oxalis corniculata,3,autochory,other,herb
