,site,site_micro,microhabitat,abiotic,autochory,ectozoochory,endozoochory,Aristolochia triangularis,Baccharis trinervis,Buddleja stachyoides,Desmodium incanum,Rubus sellowii,Zanthoxylum rhoifolium,Sida rhombifolia,Solanum viarum,Trema micrantha,Bastardiopsis densiflora,Psidium guajava,Solanum scuticum,Leucaena leucocephala,Lantana camara,Polygala lancifolia,Vernonanthura cf. divaricata,Schinus terebinthifolia,Phytolacca thyrsiflora,Gymanthemum americanum
1,10JG,10JGforest fragment,forest fragment,30,1,1,3,1,3,27,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10JG,10JGisolated tree,isolated tree,72,0,3,2,0,1,71,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
3,10JG,10JGopen pasture,open pasture,1,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
4,1JM1,1JM1forest fragment,forest fragment,0,0,1,3,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0
5,1JM1,1JM1open pasture,open pasture,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6,2JM2,2JM2forest fragment,forest fragment,24,2,1,10,2,0,24,0,1,1,1,1,1,1,3,2,0,0,0,0,0,0,0
7,2JM2,2JM2isolated tree,isolated tree,0,0,5,1,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
8,2JM2,2JM2open pasture,open pasture,0,0,3,6,0,0,0,0,0,0,3,0,0,0,5,0,1,0,0,0,0,0,0
9,3SS,3SSforest fragment,forest fragment,99,0,0,7,0,1,98,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0
10,3SS,3SSisolated tree,isolated tree,61,0,4,7,0,0,61,2,0,0,2,0,3,0,0,0,0,4,0,0,0,0,0
11,3SS,3SSopen pasture,open pasture,1,0,4,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
12,4AJ,4AJforest fragment,forest fragment,10,0,1,4,0,1,9,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0
13,4AJ,4AJisolated tree,isolated tree,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4AJ,4AJopen pasture,open pasture,1,0,5,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,5PF1,5PF1forest fragment,forest fragment,187,1,0,6,0,0,186,0,3,0,0,0,2,1,0,0,0,0,1,1,0,0,0
16,5PF1,5PF1isolated tree,isolated tree,2,0,1,10,0,0,2,0,0,0,1,0,0,8,0,0,0,1,0,0,1,0,0
17,5PF1,5PF1open pasture,open pasture,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
18,6PF2,6PF2forest fragment,forest fragment,26,0,0,6,0,0,26,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0
19,6PF2,6PF2isolated tree,isolated tree,0,0,10,1,0,0,0,6,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
20,6PF2,6PF2open pasture,open pasture,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,7ZM,7ZMforest fragment,forest fragment,16,0,0,7,0,0,16,0,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0
22,7ZM,7ZMisolated tree,isolated tree,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,8NEI,8NEIforest fragment,forest fragment,0,0,1,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
24,8NEI,8NEIisolated tree,isolated tree,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,9DITO,9DITOforest fragment,forest fragment,54,0,0,4,0,1,52,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1
26,9DITO,9DITOisolated tree,isolated tree,31,1,9,1,0,0,29,0,0,0,9,0,0,0,0,0,0,1,1,0,0,0,2
27,9DITO,9DITOopen pasture,open pasture,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
